neuron_idx,tau_frames,tau_ms,tau_psd_frames,tau_psd_ms,pearson_cumsum_raw,pearson_cumsum_calib,spearman_cumsum_raw,spearman_cumsum_calib,pearson_cumsum_raw_psd,pearson_cumsum_calib_psd,spearman_cumsum_raw_psd,spearman_cumsum_calib_psd,binned_rate_bin_ms,pearson_binned_rate_raw,spearman_binned_rate_raw,pearson_binned_rate_raw_psd,spearman_binned_rate_raw_psd,gof_tau_pearson_raw,gof_tau_pearson_scaled,gof_tau_spearman_raw,gof_tau_spearman_scaled,gof_tau_psd_pearson_raw,gof_tau_psd_pearson_scaled,gof_tau_psd_spearman_raw,gof_tau_psd_spearman_scaled,firing_rate_hz,mean_isi_s,cv2,burst_index,global_id,dataset_name,frame_rate,gof_tau_r2,gof_tau_psd_r2,gof_tau_chi2,gof_tau_nmse,gof_tau_psd_chi2,gof_tau_psd_nmse,psd_fit_r2,psd_fit_std_tau
0,550.0397992426284,2750.2333441055644,48.948037231509126,244.74324277621108,0.9986028681811281,0.9986028681811276,0.9998378345011487,0.9998378345011487,0.9986342111292144,0.9986342111292142,0.9999455475580085,0.9999455475580085,1425.020222186122,0.6955762014711173,0.6358282420123427,0.6751727342102809,0.6399000329593305,0.9995306224227213,0.999530622422721,0.9992664405114913,0.9992664405114913,0.9996556711006778,0.9996556711006778,0.9995255465732135,0.9995255465732135,0.7634628820960698,1.303449720670391,1.292421061734597,0.547486033519553,0,DS01-OGB1-m-V1,12.175,,,,,,,0.7985727164426928,0.00324113807781755
1,482.9544663266204,2414.811203788047,27.083587703458907,135.42011842759888,0.9957760229880965,0.9957760229880962,0.9997239404773107,0.9997239404773107,0.99570235766622,0.99570235766622,0.9998245070116839,0.9998245070116839,1425.020222186122,0.6615960655695068,0.5298699192812137,0.5823800675932161,0.48688611749489513,0.9986010827635227,0.9986010827635229,0.9972007521145628,0.9972007521145628,0.9994813837391673,0.9994813837391673,0.999124894053421,0.999124894053421,0.793059985885674,1.2631296928327644,,0.6040955631399317,2,DS01-OGB1-m-V1,11.466999999999999,,,,,,,0.7667533167084034,0.001676990896331958
2,4308.220501510657,21542.022104084972,23.562660894318988,117.81833395911259,0.9488933925699559,0.9488933925699548,0.9644752609668187,0.9644752609668187,0.9835431867141926,0.983543186714193,0.9977479699221702,0.9977479699221702,1425.020222186122,0.14137275559815066,0.04459393163942547,0.28656252502887647,0.2577191999131926,0.9958199360721463,0.9958199360721463,0.9958287998293265,0.9958287998293265,0.9995689863182066,0.9995689863182069,0.9995308166850443,0.9995308166850443,2.7679827660491165,0.302705201362862,1.2326058719692314,0.6541737649063032,3,DS01-OGB1-m-V1,10.926000000000002,,,,,,,0.6905315085697541,0.0022691178945692418
3,611.8884979113492,3059.526457864376,26.197843723073458,130.9928136961843,0.9990077531888366,0.9990077531888368,0.9994023438579759,0.9994023438579759,0.999141204591425,0.9991412045914251,0.9999378695199125,0.9999378695199125,1425.020222186122,0.5888463073785537,0.5549034798316174,0.6682738533880064,0.6184023647327304,0.9905542444421271,0.9905542444421271,0.9886604971845065,0.9886604971845065,0.999067471848147,0.9990674718481468,0.9986535730946157,0.9986535730946157,1.268472355385107,0.7793630769230769,1.305787866748959,0.556923076923077,4,DS01-OGB1-m-V1,12.175000000000002,,,,,,,0.8039795166518806,0.0017329222913023015
4,265.6802455735854,1328.4356318754476,25.33675025576344,126.68703223688944,0.9969323237385846,0.9969323237385843,0.999788535979491,0.999788535979491,0.9967781434438281,0.9967781434438282,0.9998189641334151,0.9998189641334151,1425.020222186122,0.7339994489790996,0.554415593324834,0.7681706071107167,0.6351974740016444,0.9994539244196952,0.9994539244196949,0.9993050566129571,0.9993050566129571,0.999587092567055,0.999587092567055,0.9992322093788953,0.9992322093788953,1.0749376397515529,0.90607756232687,,0.6371191135734072,5,DS01-OGB1-m-V1,11.952,,,,,,,0.6383127731828677,0.0022229231222773956
5,435.5745777121951,2177.9035452557173,57.894316252384606,289.4756559909624,0.99295039669585,0.9929503966958498,0.9999101946958755,0.9999101946958755,0.9929808602864325,0.9929808602864333,0.9999770597615425,0.9999770597615425,1425.020222186122,0.24615109609668073,0.6226492563736308,0.26043563574117934,0.5772126737631197,0.988562022255681,0.988562022255681,0.9928660743851254,0.9928660743851254,0.9982995108002576,0.9982995108002574,0.9980224422723243,0.9980224422723243,2.541012643895075,0.3936755973931933,,0.7400434467776973,6,DS01-OGB1-m-V1,9.743000000000002,,,,,,,0.8103915350461666,0.003942159845272503
6,654.9160298558231,3274.6322449007307,35.9440527227256,179.72312280119493,0.9979761615686342,0.9979761615686343,0.9993405568916042,0.9993405568916042,0.9979784209042567,0.9979784209042568,0.9996629177210669,0.9996629177210669,1425.020222186122,0.6031632471304385,0.4479770427410361,0.7286852325184111,0.6132467314987937,0.9995639155663048,0.999563915566305,0.9993582817244192,0.9993582817244192,0.9995697781921671,0.9995697781921673,0.9993397311015645,0.9993397311015645,0.6803780586179081,1.4763963133640552,1.344341627286293,0.5622119815668203,7,DS01-OGB1-m-V1,11.607000000000001,,,,,,,0.8004653869597046,0.0023909005736732014
7,464.50139183622207,2322.581178098671,39.9559177644741,199.78597305505258,0.8436038608123728,0.8436038608123755,0.9989407768302222,0.9989407768302222,0.8463850835134779,0.8463850835134775,0.9991664726913048,0.9991664726913048,1425.020222186122,0.5966140645262219,0.6513051329500104,0.7736804400211407,0.5366559003750203,0.9995256952419114,0.9995256952419114,0.9983358828173072,0.9983358828173072,0.9997890717476752,0.999789071747675,0.999378919202795,0.999378919202795,1.9229453002200565,0.5207813688212929,,0.8346007604562737,8,DS01-OGB1-m-V1,11.607000000000001,,,,,,,0.812486118495122,0.0029191963134216677
8,1433.1723671882548,7165.936357202685,19.168757179273943,95.84478262223283,0.9950417017232714,0.9950417017232713,0.9994902159134689,0.9994902159134689,0.9957470043113865,0.9957470043113864,0.9999292041355814,0.9999292041355814,1425.020222186122,0.37136198918271723,0.3266225769642647,0.4162549981727932,0.38378247626068673,0.9968271805921669,0.996827180592167,0.9963938637803976,0.9963938637803976,0.9994932818632382,0.9994932818632379,0.9993701213569192,0.9993701213569192,0.39983400267737623,2.4995936254980076,1.1545666259652803,0.4262948207171315,9,DS01-OGB1-m-V1,10.667,,,,,,,0.6749414460471614,0.0010837824406781918
9,894.1186234844057,4470.657314197998,17.131709211433968,85.6597760958575,0.9894252628139764,0.9894252628139747,0.9989509128733473,0.9989509128733473,0.9896984924237539,0.9896984924237539,0.999074049305427,0.999074049305427,1425.020222186122,0.38781277791488344,0.3296708090377972,0.35204317203898877,0.3122672005183407,0.9995633430681331,0.999563343068133,0.9991646883066966,0.9991646883066966,0.9995008531876609,0.9995008531876609,0.998981904565438,0.998981904565438,0.4196800980542362,2.1364936170212765,,0.7702127659574468,10,DS01-OGB1-m-V1,11.606999999999998,,,,,,,0.6989844727079981,0.0009558243029032839
10,612.7437633461504,3063.746474935502,38.74424953694772,193.72299653385087,0.9942671273316424,0.9942671273316414,0.9997825808583594,0.9997825808583594,0.9941430555136013,0.9941430555136015,0.9999135003193172,0.9999135003193172,1425.020222186122,0.4512382918209769,0.625800570811378,0.6583805655811487,0.5883709202699855,0.9984295316780609,0.9984295316780609,0.9976672207891571,0.9976672207891571,0.9997607752435095,0.9997607752435095,0.999393625075593,0.999393625075593,4.184092243186583,0.239123355602537,,0.8,11,DS01-OGB1-m-V1,10.966,,,,,,,0.7161108258570416,0.0025358921339316684
11,409.1185364826878,2045.6258245849965,38.85167422476345,194.26151844846194,0.9996213279396755,0.999621327939676,0.9998736407379809,0.9998736407379809,0.9995770856060809,0.9995770856060808,0.9999100257760961,0.9999100257760961,1425.020222186122,0.7478317742020699,0.631064900304055,0.7313988154783875,0.6037455908105624,0.999520112421108,0.9995201124211082,0.9987942047429187,0.9987942047429187,0.9996841792916001,0.9996841792916001,0.999353838608807,0.999353838608807,0.8925865678150893,1.1091079545454545,1.4162645217468144,0.6628787878787878,12,DS01-OGB1-m-V1,11.606999999999998,,,,,,,0.7087614722516012,0.0025330632559946026
